代表	dài biǎo	1	2267	an-ai
担心	dān xīn	1	2299	an-ang,an-ai,in-ing
单独	dān dú	1	2307	an-ang,an-ai
胆小	dǎn xiǎo	1	2324	an-ang,an-ai
但是	dàn shì	1	2331	an-ang,an-ai,s-sh
当然	dāng rán	1	2371	an-ang,r-l,an-ai
当时	dāng shí	1	2373	an-ang,s-sh
刀子	dāo zi	1	2401	z-zh
稻田	dào tián	1	2469	ian-iang
得到	dé dào	1	2476	
灯光	dēng guāng	1	2498	en-eng,eng-ong,g-k,uan-uang
凳子	dèng zi	1	2519	en-eng,eng-ong,z-zh
低头	dī tóu	1	2539	
敌人	dí rén	1	2556	r-l,en-eng
底下	dǐ xia	1	2573	
地板	dì bǎn	1	2578	an-ang,an-ai
地点	dì diǎn	1	2584	ian-iang
地方	dì fang	1	2586	h-f,an-ang
地面	dì miàn	1	2589	ian-iang
地球	dì qiú	1	2591	
地铁	dì tiě	1	2594	
弟弟	dì di	1	2605	
第一	dì yī	1	2612	
点头	diǎn tóu	1	2642	ian-iang
电灯	diàn dēng	1	2650	ian-iang,en-eng,eng-ong
电话	diàn huà	1	2654	ian-iang,h-f
电脑	diàn nǎo	1	2655	ian-iang,n-l
电视	diàn shì	1	2659	ian-iang,s-sh
电梯	diàn tī	1	2663	ian-iang
东方	dōng fāng	1	2780	eng-ong,on-ong,un-ong,h-f,an-ang
东西	dōng xi	1	2784	eng-ong,on-ong,un-ong
冬瓜	dōng guā	1	2786	eng-ong,on-ong,un-ong,g-k
冬天	dōng tiān	1	2789	eng-ong,on-ong,un-ong,ian-iang
动画	dòng huà	1	2802	eng-ong,on-ong,un-ong,h-f
动听	dòng tīng	1	2823	eng-ong,on-ong,un-ong,in-ing
动物	dòng wù	1	2825	eng-ong,on-ong,un-ong
动作	dòng zuò	1	2834	eng-ong,on-ong,un-ong,z-zh
读书	dú shū	1	2906	s-sh
肚皮	dù pí	1	2919	
肚子	dù zi	1	2920	z-zh
队员	duì yuán	1	2974	uan-uang
队长	duì zhǎng	1	2975	z-zh,an-ang
对比	duì bǐ	1	2980	
对面	duì miàn	1	2995	ian-iang
对于	duì yú	1	3001	
多么	duō me	1	3026	
儿童	ér tóng	1	3096	eng-ong,on-ong,un-ong
儿子	ér zi	1	3097	z-zh
而且	ér qiě	1	3101	
耳朵	ěr duo	1	3104	
发出	fā chū	1	3124	h-f,c-ch
发明	fā míng	1	3146	h-f,in-ing
发烧	fā shāo	1	3153	h-f,s-sh
发生	fā shēng	1	3155	h-f,s-sh,en-eng,eng-ong
发现	fā xiàn	1	3159	h-f,ian-iang
发芽	fā yá	1	3163	h-f
发展	fā zhǎn	1	3171	h-f,z-zh,an-ang,an-ai
反对	fǎn duì	1	3244	h-f,an-ang,an-ai
反复	fǎn fù	1	3247	h-f,an-ang,an-ai
方便	fāng biàn	1	3295	h-f,an-ang,ian-iang
方法	fāng fǎ	1	3297	h-f,an-ang
方向	fāng xiàng	1	3304	h-f,an-ang,ian-iang
房屋	fáng wū	1	3331	h-f,an-ang
房子	fáng zi	1	3332	h-f,an-ang,z-zh
放假	fàng jià	1	3352	h-f,an-ang
放学	fàng xué	1	3362	h-f,an-ang
飞机	fēi jī	1	3376	h-f
飞快	fēi kuài	1	3378	h-f,g-k
飞行	fēi xíng	1	3385	h-f,in-ing
非常	fēi cháng	1	3391	h-f,c-ch,an-ang
肥皂	féi zào	1	3406	h-f,z-zh
分头	fēn tóu	1	3468	h-f,en-eng
粉笔	fěn bǐ	1	3487	h-f,en-eng
粉红	fěn hóng	1	3488	h-f,en-eng,eng-ong,on-ong,un-ong
丰富	fēng fù	1	3516	h-f,en-eng,eng-ong
丰收	fēng shōu	1	3526	h-f,en-eng,eng-ong,s-sh
风景	fēng jǐng	1	3547	h-f,en-eng,eng-ong,in-ing
父母	fù mǔ	1	3711	h-f
父女	fù nǚ	1	3712	h-f,n-l
父亲	fù qīn	1	3713	h-f,in-ing
父子	fù zǐ	1	3714	h-f,z-zh
复习	fù xí	1	3745	h-f
复杂	fù zá	1	3748	h-f,z-zh
改变	gǎi biàn	1	3785	g-k,an-ai,ian-iang
改正	gǎi zhèng	1	3802	g-k,an-ai,z-zh,en-eng,eng-ong
盖子	gài zi	1	3809	g-k,an-ai,z-zh
干净	gān jìng	1	3827	g-k,an-ang,an-ai,in-ing
赶快	gǎn kuài	1	3862	g-k,an-ang,an-ai
感到	gǎn dào	1	3868	g-k,an-ang,an-ai
感动	gǎn dòng	1	3869	g-k,an-ang,an-ai,eng-ong,on-ong,un-ong
感冒	gǎn mào	1	3879	g-k,an-ang,an-ai
感人	gǎn rén	1	3883	g-k,an-ang,an-ai,r-l,en-eng
感谢	gǎn xiè	1	3891	g-k,an-ang,an-ai
干部	gàn bù	1	3894	g-k,an-ang,an-ai
刚才	gāng cái	1	3898	g-k,an-ang,c-ch,an-ai
刚刚	gāng gāng	1	3899	g-k,an-ang
刚好	gāng hǎo	1	3900	g-k,an-ang,h-f
钢笔	gāng bǐ	1	3913	g-k,an-ang
