二手货	èr shǒu huò	46841	ao-ou,ua-uo,s-sh,h-f	1
私活儿	sī huó er	46842	ua-uo,s-sh,h-f	1
感光度	gǎn guāng dù	46850	an-ang,uan-uang	1
高岭土	gāo lǐng tǔ	46852	in-ing,ao-ou,n-l,r-l	1
高山病	gāo shān bìng	46853	in-ing,an-ang,ao-ou,s-sh	1
虹鳟鱼	hóng zūn yú	46868	z-zh,h-f	3
黄褐斑	huáng hè bān	46872	an-ang,uan-uang,h-f	1
黄粱梦	huáng liáng mèng	46873	en-eng,ian-iang,uan-uang,n-l,h-f,r-l	1
黄梅雨	huáng méi yǔ	46874	uan-uang,ai-ei,h-f	1
火电站	huǒ diàn zhàn	46879	an-ang,ian-iang,ua-uo,z-zh,h-f	1
货郎担	huò láng dàn	46880	an-ang,ua-uo,n-l,h-f,r-l	1
纪念卡	jì niàn kǎ	46883	ian-iang,n-l,j-q-x	1
夹生饭	jiā shēng fàn	46884	en-eng,an-ang,ia-ie,s-sh,h-f,j-q-x	1
碱面儿	jiǎn miàn er	46885	ian-iang,j-q-x	1
救生筏	jiù shēng fá	46903	en-eng,s-sh,h-f,j-q-x	1
拦河坝	lán hé bà	46908	an-ang,n-l,h-f,r-l	1
流窜犯	liú cuàn fàn	46919	an-ang,uan-uang,c-ch,n-l,h-f,r-l	1
卵磷脂	luǎn lín zhī	46924	in-ing,uan-uang,z-zh,n-l,r-l	1
卖苦力	mài kǔ lì	46926	ai-ei,n-l,r-l	1
煤气表	méi qì biǎo	46927	ai-ei,j-q-x	1
棉纤维	mián xiān wéi	46934	ian-iang,ai-ei,j-q-x	1
七弦琴	qī xián qín	46951	in-ing,ian-iang,j-q-x	1
气吁吁	qì xū xū	46953	j-q-x	1
枪榴弹	qiāng liú dàn	46954	an-ang,ian-iang,n-l,r-l,j-q-x	1
软饮料	ruǎn yǐn liào	46965	in-ing,uan-uang,n-l,r-l	1
上下水	shàng xià shuǐ	46971	an-ang,ia-ie,s-sh,j-q-x	1
生活照	shēng huó zhào	46974	en-eng,ao-ou,ua-uo,z-zh,s-sh,h-f	1
四方步	sì fāng bù	46989	an-ang,s-sh,h-f	1
太空服	tài kōng fú	46992	ai-ei,h-f	1
太平门	tài píng mén	46993	en-eng,in-ing,ai-ei	1
体检表	tǐ jiǎn biǎo	46996	ian-iang,j-q-x	1
挖墙脚	wā qiáng jiǎo	47008	ian-iang,j-q-x	1
外姓人	wài xìng rén	47009	en-eng,in-ing,ai-ei,r-l,j-q-x	1
文抄公	wén chāo gōng	47014	en-eng,ao-ou,c-ch	1
五官科	wǔ guān kē	47016	uan-uang	1
橡皮筏	xiàng pí fá	47027	ian-iang,h-f,j-q-x	1
形象性	xíng xiàng xìng	47030	in-ing,ian-iang,j-q-x	1
修订版	xiū dìng bǎn	47032	in-ing,an-ang,j-q-x	1
雪里蕻	xuě lǐ hóng	47038	n-l,h-f,r-l,j-q-x	3
烟幕弹	yān mù dàn	47042	an-ang	1
掩蔽部	yǎn bì bù	47045	an-ang	1
供应链	gōng yìng liàn	47058	in-ing,ian-iang,n-l,r-l	1
玉米螟	yù mǐ míng	47065	in-ing	3
