朝日关系	cháo rì guān xì	65631	uan-uang,ao-ou,c-ch,r-l,j-q-x	1
朝更暮改	zhāo gèng mù gǎi	65632	en-eng,ai-ei,ao-ou,z-zh	1
朝梁暮周	zhāo liáng mù zhōu	65634	ian-iang,ao-ou,z-zh,n-l,r-l	1
朝梁暮晋	zhāo liáng mù jìn	65635	in-ing,ian-iang,ao-ou,z-zh,n-l,r-l,j-q-x	1
朝梁暮陈	zhāo liáng mù chén	65636	en-eng,ian-iang,ao-ou,z-zh,c-ch,n-l,r-l	1
朝欢暮乐	zhāo huān mù lè	65637	uan-uang,ao-ou,z-zh,n-l,h-f,r-l	1
朝歌夜弦	zhāo gē yè xián	65638	ian-iang,ao-ou,z-zh,j-q-x	1
朝歌暮弦	zhāo gē mù xián	65639	ian-iang,ao-ou,z-zh,j-q-x	1
朝生夕死	zhāo shēng xī sǐ	65640	en-eng,ao-ou,z-zh,s-sh,j-q-x	1
朝生暮死	zhāo shēng mù sǐ	65641	en-eng,ao-ou,z-zh,s-sh	1
朝种暮获	zhāo zhòng mù huò	65643	ao-ou,ua-uo,z-zh,h-f	1
朝穿暮塞	zhāo chuān mù sāi	65644	uan-uang,ai-ei,ao-ou,z-zh,c-ch,s-sh	1
朝章国典	cháo zhāng guó diǎn	65645	an-ang,ian-iang,ao-ou,ua-uo,z-zh,c-ch	1
朝章国故	cháo zhāng guó gù	65646	an-ang,ao-ou,ua-uo,z-zh,c-ch	1
朝经暮史	zhāo jīng mù shǐ	65648	in-ing,ao-ou,z-zh,s-sh,j-q-x	1
朝荣夕灭	zhāo róng xī miè	65650	ao-ou,ia-ie,z-zh,r-l,j-q-x	1
朝衣东市	zhāo yī dōng shì	65651	ao-ou,z-zh,s-sh	1
朝觐圣地	cháo jìn shèng dì	65654	en-eng,in-ing,ao-ou,c-ch,s-sh,j-q-x	3
朝趁暮食	zhāo chèn mù shí	65656	en-eng,ao-ou,z-zh,c-ch,s-sh	1
朝过夕改	zhāo guò xī gǎi	65657	ai-ei,ao-ou,ua-uo,z-zh,j-q-x	1
朝野上下	cháo yě shàng xià	65658	an-ang,ao-ou,ia-ie,c-ch,s-sh,j-q-x	1
朝钟暮鼓	zhāo zhōng mù gǔ	65659	ao-ou,z-zh	1
朝锺暮鼓	zhāo zhōng mù gǔ	65660	ao-ou,z-zh	5
朝闻夕改	zhāo wén xī gǎi	65661	en-eng,ai-ei,ao-ou,z-zh,j-q-x	1
朝闻夕死	zhāo wén xī sǐ	65662	en-eng,ao-ou,z-zh,s-sh,j-q-x	1
朝阳丹凤	cháo yáng dān fèng	65663	en-eng,an-ang,ao-ou,c-ch,h-f	1
朝阳鸣凤	zhāo yáng míng fèng	65665	en-eng,in-ing,an-ang,ao-ou,z-zh,h-f	1
朝露溘至	zhāo lù kè zhì	65667	ao-ou,z-zh,n-l,r-l	3
朝饔夕飧	zhāo yōng xī sūn	65668	ao-ou,z-zh,s-sh,j-q-x	3
朝齑夕盐	zhāo jī xī yán	65669	an-ang,ao-ou,z-zh,j-q-x	3
朝齑暮盐	zhāo jī mù yán	65670	an-ang,ao-ou,z-zh,j-q-x	3
期中考试	qī zhōng kǎo shì	65671	ao-ou,z-zh,s-sh,j-q-x	1
期末考试	qī mò kǎo shì	65674	ao-ou,s-sh,j-q-x	1
期货交易	qī huò jiāo yì	65677	ua-uo,h-f,j-q-x	1
期货市场	qī huò shì chǎng	65678	an-ang,ua-uo,c-ch,s-sh,h-f,j-q-x	1
期颐之寿	qī yí zhī shòu	65680	ao-ou,z-zh,s-sh,j-q-x	3
木人石心	mù rén shí xīn	65681	en-eng,in-ing,s-sh,r-l,j-q-x	1
木坏山颓	mù huài shān tuí	65683	an-ang,s-sh,h-f	1
木干鸟栖	mù gān niǎo qī	65688	an-ang,n-l,j-q-x	1
木心石腹	mù xīn shí fù	65689	in-ing,s-sh,h-f,j-q-x	1
木石心肠	mù shí xīn cháng	65695	in-ing,an-ang,c-ch,s-sh,j-q-x	1
木落归本	mù luò guī běn	65697	en-eng,ua-uo,n-l,r-l	1
