一个	yí gè	11		1
一了	yī liǎo	24	n-l,r-l	1
一份	yī fèn	46	en-eng,h-f	1
一会	yī huì	48	h-f	1
一似	yī sì	50	s-sh	1
一倍	yí bèi	56	ai-ei	1
一分	yī fēn	69	en-eng,h-f	1
一副	yī fù	80	h-f	1
一匹	yì pǐ	87		1
一卷	yī juàn	92	uan-uang,j-q-x	1
一发	yī fā	97	h-f	1
一只	yī zhī	106	z-zh	1
一号	yī hào	113	ao-ou,h-f	1
一场	yī cháng	131	an-ang,c-ch	1
一家	yī jiā	174	ia-ie,j-q-x	1
一幕	yí mù	210		1
一得	yī de	226		1
一成	yì chéng	241	en-eng,c-ch	1
一扎	yī zā	244	z-zh	1
一打	yī dǎ	245		1
一撮	yī zuǒ	261	ua-uo,z-zh	1
一月	yí yuè	301		1
一服	yī fù	302	h-f	1
一期	yī qī	314	j-q-x	1
一条	yī tiáo	318		1
一点	yì diǎn	368	ian-iang	1
一片	yī piàn	371	ian-iang	1
一百	yì bǎi	391	ai-ei	1
一种	yī zhǒng	414	z-zh	1
一觉	yī jiào	477	j-q-x	1
一隅	yì yú	549		1
丁丁	dīng dīng	576	in-ing	1
丁丑	dīng chǒu	578	in-ing,ao-ou,c-ch	1
丁东	dīng dōng	579	in-ing	1
丁亥	dīng hài	580	in-ing,ai-ei,h-f	1
丁冬	dīng dōng	583	in-ing	1
丁卯	dīng mǎo	584	in-ing,ao-ou	1
丁坝	dīng bà	585	in-ing	1
丁字	dīng zì	586	in-ing,z-zh	1
丁宁	dīng níng	590	in-ing,n-l	1
丁当	dīng dāng	591	in-ing,an-ang	1
丁忧	dīng yōu	592	in-ing,ao-ou	1
丁未	dīng wèi	593	in-ing,ai-ei	1
丁艰	dīng jiān	595	in-ing,ian-iang,j-q-x	1
七大	qī dà	606	j-q-x	1
万事	wàn shì	648	an-ang,s-sh	1
万俟	mò qí	659	j-q-x	3
万卷	wàn juàn	668	an-ang,uan-uang,j-q-x	1
万历	wàn lì	669	an-ang,n-l,r-l	1
万安	wàn ān	688	an-ang	1
万有	wàn yǒu	709	an-ang,ao-ou	1
万机	wàn jī	711	an-ang,j-q-x	1
万死	wàn sǐ	712	an-ang,s-sh	1
万金	wàn jīn	759	in-ing,an-ang,j-q-x	1
三分	sān fēn	787	en-eng,an-ang,s-sh,h-f	1
三台	sān tái	802	an-ang,ai-ei,s-sh	1
三号	sān hào	805	an-ang,ao-ou,s-sh,h-f	1
三合	sān hé	806	an-ang,s-sh,h-f	1
三好	sān hǎo	831	an-ang,ao-ou,s-sh,h-f	1
三度	sān dù	849	an-ang,s-sh	1
三教	sān jiào	861	an-ang,s-sh,j-q-x	1
三藏	sān zàng	907	an-ang,z-zh,s-sh	1
三行	sān xíng	909	in-ing,an-ang,s-sh,j-q-x	1
三重	sān chóng	930	an-ang,c-ch,s-sh	1
上举	shàng jǔ	957	an-ang,s-sh,j-q-x	1
上京	shàng jīng	962	in-ing,an-ang,s-sh,j-q-x	1
上人	shàng rén	963	en-eng,an-ang,s-sh,r-l	1
上位	shàng wèi	966	an-ang,ai-ei,s-sh	1
上体	shàng tǐ	967	an-ang,s-sh	1
上元	shàng yuán	969	an-ang,uan-uang,s-sh	1
上兵	shàng bīng	972	in-ing,an-ang,s-sh	1
上列	shàng liè	976	an-ang,ia-ie,s-sh,n-l,r-l	1
上卷	shàng juàn	990	an-ang,uan-uang,s-sh,j-q-x	1
上叶	shàng yè	995	an-ang,s-sh	1
上坡	shàng pō	1008	an-ang,s-sh	1
上堂	shàng táng	1010	an-ang,s-sh	1
上声	shǎng shēng	1012	en-eng,an-ang,s-sh	1
上夜	shàng yè	1013	an-ang,s-sh	1
上奏	shàng zòu	1017	an-ang,ao-ou,z-zh,s-sh	1
上官	shàng guān	1023	an-ang,uan-uang,s-sh	1
上客	shàng kè	1024	an-ang,s-sh	1
上届	shàng jiè	1033	an-ang,ia-ie,s-sh,j-q-x	1
上岸	shàng àn	1037	an-ang,s-sh	1
上床	shàng chuáng	1045	an-ang,uan-uang,c-ch,s-sh	1
上月	shàng yuè	1072	an-ang,s-sh	1
上朝	shàng cháo	1073	an-ang,ao-ou,c-ch,s-sh	1
上林	shàng lín	1076	in-ing,an-ang,s-sh,n-l,r-l	1
上次	shàng cì	1084	an-ang,c-ch,s-sh	1
上焦	shàng jiāo	1101	an-ang,s-sh,j-q-x	1
上界	shàng jiè	1103	an-ang,ia-ie,s-sh,j-q-x	1
上疏	shàng shū	1104	an-ang,s-sh	1
上簇	shàng cù	1118	an-ang,c-ch,s-sh	1
上膘	shàng biāo	1129	an-ang,s-sh	3
上计	shàng jì	1143	an-ang,s-sh,j-q-x	1
上谕	shàng yù	1149	an-ang,s-sh	3
上车	shàng chē	1155	an-ang,c-ch,s-sh	1
上选	shàng xuǎn	1164	an-ang,uan-uang,s-sh,j-q-x	1
