薄物细故	bó wù xì gù	71619	j-q-x	1
薏苡蒙谤	yì yǐ méng bàng	71624	en-eng,an-ang	3
薪尽火传	xīn jìn huǒ chuán	71626	in-ing,uan-uang,ua-uo,c-ch,h-f,j-q-x	1
薮中荆曲	sǒu zhōng jīng qǔ	71627	in-ing,ao-ou,z-zh,s-sh,j-q-x	3
薰天赫地	xūn tiān hè dì	71631	ian-iang,h-f,j-q-x	3
薰莸同器	xūn yóu tóng qì	71632	ao-ou,j-q-x	3
藉草枕块	jiè cǎo zhěn kuài	71636	en-eng,ao-ou,ia-ie,z-zh,c-ch,j-q-x	1
藏之名山	cáng zhī míng shān	71637	in-ing,an-ang,z-zh,c-ch,s-sh	1
藏器待时	cáng qì dài shí	71639	an-ang,ai-ei,c-ch,s-sh,j-q-x	1
藏垢纳污	cáng gòu nà wū	71640	an-ang,ao-ou,c-ch,n-l	1
藏头亢脑	cáng tóu kàng nǎo	71641	an-ang,ao-ou,c-ch,n-l	1
藏巧于拙	cáng qiǎo yú zhuō	71642	an-ang,ua-uo,z-zh,c-ch,j-q-x	1
藏弓烹狗	cáng gōng pēng gǒu	71644	en-eng,an-ang,ao-ou,c-ch	1
藏形匿影	cáng xíng nì yǐng	71645	in-ing,an-ang,c-ch,n-l,j-q-x	1
藏怒宿怨	cáng nù sù yuàn	71646	an-ang,uan-uang,c-ch,s-sh,n-l	1
藏掖躲闪	cáng yē duǒ shǎn	71647	an-ang,ua-uo,c-ch,s-sh	3
藏诸名山	cáng zhū míng shān	71650	in-ing,an-ang,z-zh,c-ch,s-sh	1
藏踪蹑迹	cáng zōng niè jì	71652	an-ang,ia-ie,z-zh,c-ch,n-l,j-q-x	3
藏锋敛锐	cáng fēng liǎn ruì	71655	en-eng,an-ang,ian-iang,c-ch,n-l,h-f,r-l	1
藏锋敛锷	cáng fēng liǎn è	71656	en-eng,an-ang,ian-iang,c-ch,n-l,h-f,r-l	3
藏锋敛颖	cáng fēng liǎn yǐng	71657	en-eng,in-ing,an-ang,ian-iang,c-ch,n-l,h-f,r-l	1
藩镇割据	fān zhèn gē jù	71660	en-eng,an-ang,z-zh,h-f,j-q-x	3
虎不食儿	hǔ bù shí ér	71662	s-sh,h-f	1
虎体熊腰	hǔ tǐ xióng yāo	71663	ao-ou,h-f,j-q-x	1
虎入羊群	hǔ rù yáng qún	71664	an-ang,h-f,r-l,j-q-x	1
虎卧龙跳	hǔ wò lóng tiào	71666	n-l,h-f,r-l	1
虎啸风生	hǔ xiào fēng shēng	71667	en-eng,s-sh,h-f,j-q-x	1
虎头燕颔	hǔ tóu yàn hàn	71668	an-ang,ao-ou,h-f	3
虎尾春冰	hǔ wěi chūn bīng	71670	in-ing,ai-ei,c-ch,h-f	1
虎据龙蟠	hǔ jù lóng pán	71671	an-ang,n-l,h-f,r-l,j-q-x	3
虎斗龙争	hǔ dòu lóng zhēng	71672	en-eng,ao-ou,z-zh,n-l,h-f,r-l	1
虎步龙行	hǔ bù lóng xíng	71673	in-ing,n-l,h-f,r-l,j-q-x	1
虎珀拾芥	hǔ pò shí jiè	71674	ia-ie,s-sh,h-f,j-q-x	3
虎荡羊群	hǔ dàng yáng qún	71676	an-ang,h-f,j-q-x	1
虎落平川	hǔ luò píng chuān	71677	in-ing,uan-uang,ua-uo,c-ch,n-l,h-f,r-l	1
虚左以待	xū zuǒ yǐ dài	71682	ai-ei,ua-uo,z-zh,j-q-x	1
虚废词说	xū fèi cí shuō	71683	ai-ei,ua-uo,c-ch,s-sh,h-f,j-q-x	1
虚度年华	xū dù nián huá	71684	ian-iang,ua-uo,n-l,h-f,j-q-x	1
虚晃一枪	xū huǎng yī qiāng	71685	ian-iang,uan-uang,h-f,j-q-x	1
虚舟飘瓦	xū zhōu piāo wǎ	71686	ao-ou,z-zh,j-q-x	1
虚论高议	xū lùn gāo yì	71687	ao-ou,n-l,r-l,j-q-x	1
虚词诡说	xū cí guǐ shuō	71688	ua-uo,c-ch,s-sh,j-q-x	1
虫沙猿鹤	chóng shā yuán hè	71689	uan-uang,c-ch,s-sh,h-f	1
虫臂鼠肝	chóng bì shǔ gān	71690	an-ang,c-ch,s-sh	1
虮虱相吊	jǐ shī xiāng diào	71691	ian-iang,s-sh,j-q-x	3
虱处裈中	shī chǔ kūn zhōng	71692	z-zh,c-ch,s-sh	7
